,f1,f2,cor
104,android.permission.PACKAGE_USAGE_STATS,android.permission.SET_PREFERRED_APPLICATIONS,0.0
105,android.permission.PACKAGE_USAGE_STATS,android.permission.SET_ORIENTATION,0.0
106,android.permission.PACKAGE_USAGE_STATS,android.permission.CHANGE_WIFI_STATE,0.0
107,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.FOREGROUND_SERVICE,0.0
108,android.permission.PACKAGE_USAGE_STATS,android.permission.WRITE_APN_SETTINGS,0.0
109,android.permission.PACKAGE_USAGE_STATS,android.permission.ACCESS_NETWORK_STATE,0.0
110,android.permission.PACKAGE_USAGE_STATS,android.permission.READ_SYNC_STATS,0.0
111,android.permission.MODIFY_AUDIO_SETTINGS,android.software.app_widgets,0.0
112,android.permission.MODIFY_AUDIO_SETTINGS,android.software.leanback,0.0
113,android.permission.MODIFY_AUDIO_SETTINGS,android.hardware.sensor.stepcounter,0.0
114,android.permission.PACKAGE_USAGE_STATS,android.permission.FACTORY_TEST,0.0
115,android.permission.PACKAGE_USAGE_STATS,android.permission.GLOBAL_SEARCH,0.0
116,android.permission.PACKAGE_USAGE_STATS,com.android.chrome.TOS_ACKED,0.0
117,android.permission.MODIFY_AUDIO_SETTINGS,android.hardware.telephony.cdma,0.0
118,android.permission.MODIFY_AUDIO_SETTINGS,android.hardware.telephony.gsm,0.0
119,android.permission.PACKAGE_USAGE_STATS,android.permission.CLEAR_APP_CACHE,0.0
120,android.permission.MODIFY_AUDIO_SETTINGS,android.hardware.faketouch.multitouch.distinct,0.0
121,android.permission.MODIFY_AUDIO_SETTINGS,android.hardware.faketouch.multitouch.jazzhand,0.0
122,android.permission.PACKAGE_USAGE_STATS,android.permission.REQUEST_DELETE_PACKAGES,0.0
123,android.permission.PACKAGE_USAGE_STATS,android.permission.MOUNT_FORMAT_FILESYSTEMS,0.0
124,android.permission.PACKAGE_USAGE_STATS,android.permission.REBOOT,0.0
125,android.permission.MODIFY_AUDIO_SETTINGS,android.hardware.touchscreen.multitouch.jazzhand,0.0
126,android.permission.MODIFY_AUDIO_SETTINGS,android.hardware.usb.accessory,0.0
127,android.permission.MODIFY_AUDIO_SETTINGS,android.hardware.usb.host,0.0
128,android.permission.MODIFY_AUDIO_SETTINGS,android.hardware.vulkan.version,0.0
129,android.permission.PACKAGE_USAGE_STATS,android.permission.MANAGE_OWN_CALLS,0.0
130,android.permission.MODIFY_AUDIO_SETTINGS,android.hardware.wifi.direct,0.0
131,android.permission.MODIFY_AUDIO_SETTINGS,android.software.sip,0.0
132,android.permission.PACKAGE_USAGE_STATS,android.permission.INSTALL_DYNAMIC_SYSTEM,0.0
133,android.permission.BATTERY_STATS,android.hardware.nfc,0.0
134,android.permission.ACCESS_CHECKIN_PROPERTIES,com.google.android.providers.gsf.permission.WRITE_GSERVICES,0.0
135,android.permission.PACKAGE_USAGE_STATS,android.permission.HARDWARE_TEST,0.0
136,android.permission.BATTERY_STATS,android.hardware.vulkan.version,0.0
137,android.permission.BATTERY_STATS,android.hardware.usb.host,0.0
138,android.permission.BATTERY_STATS,android.hardware.usb.accessory,0.0
139,android.permission.BATTERY_STATS,android.hardware.touchscreen.multitouch.jazzhand,0.0
140,android.permission.BATTERY_STATS,android.hardware.faketouch.multitouch.jazzhand,0.0
141,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.ACCESS_ALL_DOWNLOADS,0.0
142,android.permission.BATTERY_STATS,android.hardware.faketouch.multitouch.distinct,0.0
143,android.permission.BATTERY_STATS,android.hardware.telephony.gsm,0.0
144,android.permission.BATTERY_STATS,android.hardware.wifi.direct,0.0
145,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.PACKAGE_USAGE_STATS,0.0
146,android.permission.BATTERY_STATS,android.hardware.sensor.stepcounter,0.0
147,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.CAPTURE_AUDIO_OUTPUT,0.0
148,android.permission.ACCESS_CHECKIN_PROPERTIES,com.google.android.apps.wallpaper.NOTIFY_ROTATING_WALLPAPER_CHANGED,0.0
149,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.USE_FULL_SCREEN_INTENT,0.0
150,android.permission.BATTERY_STATS,android.hardware.sensor.gyroscope,0.0
151,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.READ_PRIVILEGED_PHONE_STATE,0.0
152,android.permission.BATTERY_STATS,android.hardware.sensor.barometer,0.0
153,android.permission.BATTERY_STATS,android.hardware.nfc.hce,0.0
154,android.permission.BATTERY_STATS,android.hardware.telephony.cdma,0.0
155,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.TRANSMIT_IR,0.0
156,android.permission.ACCESS_CHECKIN_PROPERTIES,com.android.vending.INTENT_VENDING_ONLY,0.0
157,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.TV_INPUT_HARDWARE,0.0
158,android.permission.ACCESS_CHECKIN_PROPERTIES,com.google.android.apps.inputmethod.latin.permission.UPDATE_STICKER_INDEX,0.0
159,android.permission.PACKAGE_USAGE_STATS,android.permission.BLUETOOTH_PRIVILEGED,0.0
160,android.permission.PACKAGE_USAGE_STATS,android.permission.BROADCAST_STICKY,0.0
